outcome,variable,selected,imputation
andujak2,e_con_ea,False,7
andujak2,e_con_pr,False,7
andujak2,e_con_av,False,7
andujak2,e_con_sm,False,7
andujak2,sin_tvp_,False,7
andujak2,var171,False,7
andujak2,tv_l_esu,False,7
andujak2,tvp_orig,False,7
andujak2,tv_l_ein,False,7
andujak2,tvp_prox,False,7
andujak2,tv_l_svc,False,7
andujak2,tv_l_vre,False,7
andujak2,tv_l_vrn,False,7
andujak2,tv_l_vca,False,7
andujak2,tv_l_yug,True,7
andujak2,tv_l_ova,False,7
andujak2,tv_l_sup,False,7
andujak2,tv_l_pul,False,7
andujak2,tv_l_ove,False,7
andujak2,fr_cance,False,7
andujak2,fr_cirug,False,7
andujak2,fr_inmov,False,7
andujak2,fr_tvp_a,False,7
andujak2,fr_antfa,False,7
andujak2,fr_tvs_a,False,7
andujak2,fr_viaje,False,7
andujak2,fr_estro,False,7
andujak2,fr_embar,False,7
andujak2,fr_varic,False,7
andujak2,fr_antec,False,7
andujak2,ana_dime,False,7
andujak2,ana_crea,True,7
andujak2,ana_trop,False,7
andujak2,edad,True,7
andujak2,peso,False,7
andujak2,tension_,False,7
andujak2,ana_hemo,True,7
andujak2,ana_plaq,True,7
andujak2,ana_leuc,True,7
andujak2,ana_neu,False,7
andujak2,protcrea,False,7
andujak2,splanchnic,True,7
andujak2,sexo,False,8
andujak2,raza,True,8
andujak2,ant_inf,False,8
andujak2,ant_isq,False,8
andujak2,ant_clau,True,8
andujak2,fum_act,False,8
andujak2,diabetes,False,8
andujak2,hip_art,True,8
andujak2,insf_car,False,8
andujak2,fibr_aur,True,8
andujak2,trat_est,False,8
andujak2,e_con_pp,False,8
andujak2,e_con_cu,False,8
andujak2,e_con_ec,True,8
andujak2,e_con_lu,False,8
andujak2,e_con_be,False,8
andujak2,e_con_va,False,8
andujak2,e_con_ar,False,8
andujak2,e_con_ea,False,8
andujak2,e_con_pr,False,8
andujak2,e_con_av,False,8
andujak2,e_con_sm,False,8
andujak2,sin_tvp_,False,8
andujak2,var171,False,8
andujak2,tv_l_esu,False,8
andujak2,tvp_orig,False,8
andujak2,tv_l_ein,True,8
andujak2,tvp_prox,False,8
andujak2,tv_l_svc,False,8
andujak2,tv_l_vre,False,8
andujak2,tv_l_vrn,False,8
andujak2,tv_l_vca,False,8
andujak2,tv_l_yug,False,8
andujak2,tv_l_ova,False,8
andujak2,tv_l_sup,True,8
andujak2,tv_l_pul,False,8
andujak2,tv_l_ove,False,8
andujak2,fr_cance,False,8
andujak2,fr_cirug,False,8
andujak2,fr_inmov,False,8
andujak2,fr_tvp_a,False,8
andujak2,fr_antfa,False,8
andujak2,fr_tvs_a,False,8
andujak2,fr_viaje,False,8
andujak2,fr_estro,False,8
andujak2,fr_embar,False,8
andujak2,fr_varic,False,8
andujak2,fr_antec,False,8
andujak2,ana_dime,False,8
andujak2,ana_crea,True,8
andujak2,ana_trop,False,8
andujak2,edad,True,8
andujak2,peso,False,8
andujak2,tension_,True,8
andujak2,ana_hemo,True,8
andujak2,ana_plaq,True,8
andujak2,ana_leuc,False,8
andujak2,ana_neu,True,8
andujak2,protcrea,False,8
andujak2,splanchnic,True,8
andujak2,sexo,False,9
andujak2,raza,True,9
andujak2,ant_inf,False,9
andujak2,ant_isq,True,9
andujak2,ant_clau,True,9
andujak2,fum_act,False,9
andujak2,diabetes,False,9
andujak2,hip_art,True,9
andujak2,insf_car,False,9
andujak2,fibr_aur,True,9
andujak2,trat_est,False,9
andujak2,e_con_pp,False,9
andujak2,e_con_cu,False,9
andujak2,e_con_ec,True,9
andujak2,e_con_lu,False,9
