outcome,label,analysis,validation,model,n_explicit,positive_n_explicit,auc_explicit,sensitivity_explicit,specificity_explicit,npv_explicit,tp_explicit,fp_explicit,tn_explicit,fn_explicit,n_routine,positive_n_routine,auc_routine,sensitivity_routine,specificity_routine,npv_routine,tp_routine,fp_routine,tn_routine,fn_routine
var155,Protein S deficiency,primary_complete_case,temporal_holdout,XGBoost,102,15,0.557088122605364,1.0,0.1034482758620689,1.0,15,78,9,0,423,15,0.4738562091503268,0.8,0.1127450980392156,0.9387755102040816,12,362,46,3
var155,Protein S deficiency,sensitivity_native_missing,nested_cv,XGBoost,10065,725,0.6747413423909031,0.8993103448275862,0.2839400428265524,0.973211009174312,652,6688,2652,73,21762,725,0.6036446130217203,0.9075862068965516,0.1654228264486381,0.9811107978573442,658,17557,3480,67
var155,Protein S deficiency,sensitivity_native_missing,temporal_holdout,XGBoost,230,31,0.5834008753444643,1.0,0.0050251256281407,1.0,31,198,1,0,1085,31,0.5883883209891657,0.8387096774193549,0.2514231499051233,0.9814814814814816,26,789,265,5
var154,Protein C deficiency,primary_complete_case,nested_cv,Logistic LASSO,5711,180,0.5458968641394966,0.8944444444444445,0.1779063460495389,0.9810568295114656,161,4547,984,19,7209,120,0.5033273381294964,0.7333333333333333,0.2644942869234024,0.9832197168327216,88,5214,1875,32
var154,Protein C deficiency,primary_complete_case,nested_cv,Automatic integer score,5711,180,0.5489563872315635,0.9166666666666666,0.1629000180799132,0.9836244541484715,165,4630,901,15,7209,120,0.5021888371655616,0.8916666666666667,0.1124277048949076,0.9839506172839506,107,6292,797,13
var154,Protein C deficiency,primary_complete_case,temporal_holdout,Logistic LASSO,95,2,0.3978494623655914,1.0,0.043010752688172,1.0,2,89,4,0,423,2,0.5581947743467934,1.0,0.0285035629453681,1.0,2,409,12,0
var154,Protein C deficiency,primary_complete_case,temporal_holdout,Automatic integer score,95,2,0.3924731182795699,1.0,0.043010752688172,1.0,2,89,4,0,423,2,0.5617577197149645,1.0,0.0380047505938242,1.0,2,405,16,0
var154,Protein C deficiency,primary_complete_case,nested_cv,XGBoost,5711,180,0.586436047329195,0.9111111111111112,0.1977942505875971,0.9855855855855856,164,4437,1094,16,7209,120,0.5764817557718531,0.8916666666666667,0.1475525461983354,0.987724268177526,107,6043,1046,13
var154,Protein C deficiency,primary_complete_case,temporal_holdout,XGBoost,95,2,0.760752688172043,1.0,0.064516129032258,1.0,2,87,6,0,423,2,0.9014251781472684,1.0,0.1282660332541567,1.0,2,367,54,0
var154,Protein C deficiency,sensitivity_native_missing,nested_cv,XGBoost,10034,349,0.6488719891481377,0.8882521489971347,0.2401652039235932,0.983509513742072,310,7359,2326,39,21762,349,0.5575631090397513,0.9140401146131804,0.1162845000700509,0.988095238095238,319,18923,2490,30
var154,Protein C deficiency,sensitivity_native_missing,temporal_holdout,XGBoost,221,6,0.5162790697674419,1.0,0.0,,6,215,0,0,1085,6,0.6498300895891257,1.0,0.1306765523632993,1.0,6,938,141,0
var158,Antithrombin deficiency,primary_complete_case,nested_cv,Logistic LASSO,5742,127,0.5946571682991986,0.8661417322834646,0.1859305431878895,0.9839773798303488,110,4571,1044,17,7209,92,0.5489527524421013,0.8369565217391305,0.1978361669242658,0.9894588896697118,77,5709,1408,15
var158,Antithrombin deficiency,primary_complete_case,nested_cv,Automatic integer score,5742,127,0.5951879456741995,0.8740157480314961,0.1816562778272484,0.9845559845559846,111,4595,1020,16,7209,92,0.5585982124857201,0.9565217391304348,0.0557819305887312,0.9900249376558604,88,6720,397,4
var158,Antithrombin deficiency,primary_complete_case,temporal_holdout,Logistic LASSO,98,6,0.4239130434782608,0.8333333333333334,0.1195652173913043,0.9166666666666666,5,81,11,1,423,5,0.4366028708133971,0.2,0.5765550239234449,0.9836734693877552,1,177,241,4
