n,positive_n,tp,fp,tn,fn,auc,brier,log_loss,tests_avoided_per_1000,missed_positive_per_1000,sensitivity,sensitivity_lower,sensitivity_upper,specificity,specificity_lower,specificity_upper,ppv,ppv_lower,ppv_upper,npv,npv_lower,npv_upper,false_negative_rate,false_positive_rate,lr_positive,lr_negative,auc_lower,auc_upper,mean_fold_raw_auc,outcome,label,priority,analysis,validation,model,mace,ece
423,27,21,338,58,6,0.5151515151515151,0.0603663260580054,0.2423124731165353,151.30023640661938,14.184397163120568,0.7777777777777778,0.5924307113336742,0.8939276054763996,0.1464646464646464,0.1150389422778,0.1846835006478499,0.0584958217270195,0.0385748422821001,0.0877653476446184,0.90625,0.810171204003544,0.9563217474148016,0.2222222222222222,0.8535353535353535,0.911242603550296,1.5172413793103448,0.3838231855592967,0.6317176393565284,0.5151515151515151,var157,Prothrombin G20210A,primary,primary_complete_case,temporal_holdout,XGBoost,0.0182618581068821,0.0165983266450341
21762,1544,1409,16079,4139,135,0.6055405247312071,0.0653319311940625,0.2512318102980893,196.39738994577704,6.20347394540943,0.9125647668393784,0.8974315219999023,0.9256501914015884,0.2047185676130181,0.1992130722774247,0.2103362497111612,0.0805695333943275,0.0766271584355848,0.084696134224246,0.9684136640149744,0.9627351608205872,0.9732509056438337,0.0874352331606217,0.7952814323869819,1.1474740006193511,0.4270996723946487,0.5921544682872493,0.6195725609637337,0.605857496320919,var157,Prothrombin G20210A,primary,sensitivity_native_missing,nested_cv,XGBoost,0.0066621387769415,0.0030218151526561
1085,58,53,707,320,5,0.639861666051103,0.0501033474237719,0.203354100597804,299.5391705069124,4.608294930875576,0.913793103448276,0.8135637093712647,0.962614616873809,0.311587147030185,0.2840079129628589,0.3405706323716131,0.0697368421052631,0.0537089311720785,0.0900924526782821,0.9846153846153848,0.9644972375934336,0.9934111755661086,0.0862068965517241,0.688412852969815,1.327391113495586,0.2766702586206896,0.581045395024007,0.7115821106000066,0.639861666051103,var157,Prothrombin G20210A,primary,sensitivity_native_missing,temporal_holdout,XGBoost,0.0224805922501466,0.0081516029562131
7209,636,581,5501,1072,55,0.5958623136195623,0.0792854877986827,0.29291295877625,156.3323623248717,7.629352198640588,0.9135220125786164,0.8891199574158023,0.9329586883935552,0.1630914346569298,0.1543572325712444,0.1722192057189113,0.0955277869121999,0.0883936872780319,0.1031725023293143,0.9511978704525288,0.9370144951430336,0.9623158151027416,0.0864779874213836,0.8369085653430701,1.0915433900525804,0.5302423613066742,0.5724183953174173,0.6164541704820655,0.5970724070013729,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,Logistic LASSO,0.1458025536764811,0.007982903021402
7209,636,579,5499,1074,57,0.5949293947892416,0.0793396709812247,0.2932228299675689,156.88722430295465,7.906783187682064,0.910377358490566,0.8856442822131677,0.930182814958856,0.1633957097215883,0.1546546349961507,0.172529997976064,0.0952615992102665,0.0881346060177121,0.1028998802784798,0.9496021220159152,0.9352616235420818,0.960898797894096,0.0896226415094339,0.8366042902784117,1.0881815561663013,0.5485005797406978,0.5721535869054556,0.6154285069614881,0.5963711156613205,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,Automatic integer score,0.0481147619205008,0.0092509311569646
423,50,47,316,57,3,0.6062198391420911,0.101713579085198,0.3542416042532962,141.84397163120568,7.092198581560283,0.94,0.8378290831116182,0.979385029651026,0.1528150134048257,0.1198542207834082,0.1928540974294361,0.1294765840220385,0.0987828156727092,0.1679303828169886,0.95,0.8629948352365147,0.9828504978356044,0.06,0.8471849865951743,1.1095569620253165,0.3926315789473684,0.5074772117962467,0.6873103217158177,0.6062198391420911,var161,Registry-coded APS,exploratory,primary_complete_case,temporal_holdout,Logistic LASSO,0.1405279640602815,0.0262398975921907
423,50,47,316,57,3,0.605254691689008,0.1016300002072741,0.3542846288493628,141.84397163120568,7.092198581560283,0.94,0.8378290831116182,0.979385029651026,0.1528150134048257,0.1198542207834082,0.1928540974294361,0.1294765840220385,0.0987828156727092,0.1679303828169886,0.95,0.8629948352365147,0.9828504978356044,0.06,0.8471849865951743,1.1095569620253165,0.3926315789473684,0.5068987935656837,0.6840053619302948,0.605254691689008,var161,Registry-coded APS,exploratory,primary_complete_case,temporal_holdout,Automatic integer score,0.1272795900411272,0.0264603900327683
7209,636,585,5471,1102,51,0.612083978004166,0.0791281323088675,0.291203280111294,159.93896518241087,7.074490220557636,0.9198113207547168,0.8960969757853146,0.9384847672987098,0.1676555606268066,0.158819418456902,0.1768799400641389,0.0965984147952443,0.0894119721653779,0.104296306639846,0.955767562879445,0.9423095062456028,0.9661987357320052,0.080188679245283,0.8323444393731934,1.1050849591154732,0.4782941821045782,0.5883975994802446,0.631206113943357,0.6134138678612268,var161,Registry-coded APS,exploratory,primary_complete_case,nested_cv,XGBoost,0.1160063151971571,0.0060580185806888
423,50,47,302,71,3,0.6076407506702413,0.1017786433191542,0.3535547946595024,174.94089834515367,7.092198581560283,0.94,0.8378290831116182,0.979385029651026,0.1903485254691689,0.153743319332708,0.2332668023165856,0.1346704871060172,0.1028072350881535,0.1744885768827829,0.9594594594594594,0.8874529042090835,0.9861175687780211,0.06,0.8096514745308311,1.1609933774834436,0.3152112676056338,0.5196387399463808,0.6893270777479893,0.6076407506702413,var161,Registry-coded APS,exploratory,primary_complete_case,temporal_holdout,XGBoost,0.1926852472350264,0.0274701288705317
21762,1763,1591,15996,4003,172,0.6380790536974381,0.072876156183794,0.2719181316950258,191.84817571914343,7.903685323040161,0.902439024390244,0.8877008573352192,0.9154272291808928,0.2001600080004,0.1946724080830609,0.2057627738539821,0.0904645476772616,0.0863141317944087,0.0947938309075799,0.9588023952095808,0.9523400100332918,0.9644212592686412,0.0975609756097561,0.7998399919996,1.1282744466604455,0.4874149266099206,0.6256298503382345,0.6496579699943591,0.638822289029193,var161,Registry-coded APS,exploratory,sensitivity_native_missing,nested_cv,XGBoost,0.0185551941359978,0.0032804084718521
