cohort,variable,n,null_n,sentinel_n,explicit_unknown_or_not_performed_n,unavailable_n,unavailable_pct
tested_raw,fr_can_e,22874,20369,0,0,20369,89.04870158258285
tested_raw,metacere,22874,22816,0,0,22816,99.7464370027105
tested_raw,fr_cirug,22874,0,0,0,0,0.0
tested_raw,fr_inmov,22874,0,0,0,0,0.0
tested_raw,fr_inm_m,22874,18513,0,0,18513,80.93468566931887
tested_raw,fr_inm_t,22874,18582,0,0,18582,81.23633820057708
tested_raw,fr_tvp_a,22874,0,0,0,0,0.0
tested_raw,fr_tvp_p,22874,19883,0,0,19883,86.92401853632946
tested_raw,fr_antfa,22874,15845,0,0,15845,69.27078779400192
tested_raw,fr_antgr,22874,21975,0,0,21975,96.06977354201277
tested_raw,fr_tvs_a,22874,12323,0,0,12323,53.873393372387866
tested_raw,fr_viaje,22874,395,0,0,395,1.7268514470577951
tested_raw,fr_estro,22874,284,0,0,284,1.2415843315554778
tested_raw,fr_est_m,22874,20330,0,0,20330,88.87820232578474
tested_raw,fr_est_v,22874,20634,0,0,20634,90.20722217364694
tested_raw,fr_embar,22874,0,0,0,0,0.0
tested_raw,fr_emb_s,22874,22558,0,0,22558,98.61851884235377
tested_raw,fr_varic,22874,816,0,0,816,3.5673690653143306
tested_raw,fr_antec,22874,94,0,0,94,0.41094692664160176
tested_raw,ana_hemo,22874,38,0,0,38,0.16612748098277522
tested_raw,ana_leuc,22874,38,0,0,38,0.16612748098277522
tested_raw,ana_neu,22874,18945,0,0,18945,82.82329282154411
tested_raw,ana_plaq,22874,37,0,0,37,0.161755705167439
tested_raw,ana_dime,22874,1603,0,5064,6667,29.146629360846376
tested_raw,ddunidad,22874,7183,0,0,7183,31.40246568155985
tested_raw,var130,22874,10187,0,0,10187,44.53528023082976
tested_raw,ddvalmcg,22874,19884,0,0,19884,86.9283903121448
tested_raw,protcrea,22874,22220,0,0,22220,97.14085861677013
tested_raw,ana_crea,22874,754,0,0,754,3.2963189647634867
tested_raw,var139,22874,20750,0,0,20750,90.71434816822594
tested_raw,ana_trop,22874,15169,0,0,15169,66.31546734283465
tested_raw,var141,22874,20969,0,0,20969,91.67176707178456
tested_raw,ana_port,22874,1818,0,0,1818,7.947888432281193
tested_raw,ana_dura,22874,0,0,0,0,0.0
tested_raw,var154,22874,12599,0,0,12599,55.08000349742065
tested_raw,var155,22874,12559,0,0,12559,54.9051324648072
tested_raw,var158,22874,12541,0,0,12541,54.826440500131156
tested_raw,var156,22874,12236,0,0,12236,53.49304887645362
tested_raw,var159,22874,12726,0,0,12726,55.635219025968354
tested_raw,var160,22874,12542,0,0,12542,54.83081227594649
tested_raw,var161,22874,12164,0,0,12164,53.178281017749406
tested_raw,var157,22874,12498,0,0,12498,54.6384541400717
tested_raw,andujak2,22874,20628,0,0,20628,90.18099151875492
tested_raw,var162,22874,13410,0,0,13410,58.625513683658305
tested_raw,anadutip,22874,19556,0,0,19556,85.49444784471453
tested_raw,evn_fina,22874,0,0,0,0,0.0
tested_raw,evn_defu,22874,1,0,0,1,0.00437177581533619
tested_raw,evn_def_,22874,21534,0,0,21534,94.1418204074495
tested_raw,var181,22874,21534,0,210,21744,95.05989332867011
tested_raw,evn_reci,22874,1,0,0,1,0.00437177581533619
tested_raw,evn_rec_,22874,20706,0,0,20706,90.52199003235114
tested_raw,var186,22874,20706,0,0,20706,90.52199003235114
tested_raw,evn_rec2,22874,22476,0,0,22476,98.2600332254962
tested_raw,evn_re2f,22874,22683,0,0,22683,99.1649908192708
tested_raw,e_rec2_t,22874,22707,0,0,22707,99.26991343883886
tested_raw,evn_rec3,22874,22832,0,0,22832,99.81638541575589
tested_raw,evn_re3f,22874,22852,0,0,22852,99.9038209320626
tested_raw,e_rec3_t,22874,22852,0,0,22852,99.9038209320626
tested_raw,evn_rec4,22874,22866,0,0,22866,99.96502579347731
tested_raw,evn_re4f,22874,22869,0,0,22869,99.97814112092331
tested_raw,e_rec4_t,22874,22869,0,0,22869,99.97814112092331
tested_raw,evn_hemo,22874,1,0,0,1,0.00437177581533619
tested_raw,var194,22874,21481,0,0,21481,93.91011628923668
tested_raw,var195,22874,21481,0,0,21481,93.91011628923668
tested_raw,var196,22874,21481,0,0,21481,93.91011628923668
tested_raw,evn_hem2,22874,22516,0,0,22516,98.43490425810964
tested_raw,e_h2_fec,22874,22669,0,0,22669,99.10378595785609
tested_raw,ev_hm2_f,22874,22670,0,0,22670,99.10815773367142
tested_raw,ev_hm2_l,22874,22709,0,0,22709,99.27865699046953
tested_raw,evn_hem3,22874,22814,0,0,22814,99.73769345107983
tested_raw,e_h3_fec,22874,22835,0,0,22835,99.82950074320189
tested_raw,ev_hm3_f,22874,22835,0,0,22835,99.82950074320189
tested_raw,ev_hm3_l,22874,22836,0,0,22836,99.83387251901722
tested_raw,evn_hem4,22874,22860,0,0,22860,99.93879513858529
tested_raw,e_h4_fec,22874,22864,0,0,22864,99.95628224184664
tested_raw,ev_hm4_f,22874,22864,0,0,22864,99.95628224184664
tested_raw,ev_hm4_l,22874,22865,0,0,22865,99.96065401766198
tested_raw,eisq_art,22874,5431,0,0,5431,23.743114453090847
tested_raw,eisq_inf,22874,22641,0,0,22641,98.98137623502666
tested_raw,eisqfinf,22874,22797,0,0,22797,99.66337326221911
tested_raw,eisq_ang,22874,22661,0,0,22661,99.0688117513334
tested_raw,eisqfang,22874,22846,0,0,22846,99.8775902771706
tested_raw,eisq_cer,22874,22630,0,0,22630,98.93328670105797
tested_raw,eisqfcer,22874,22748,0,0,22748,99.44915624726764
tested_raw,eisq_ei,22874,22666,0,0,22666,99.09067063041007
tested_raw,eisq_fei,22874,22850,0,0,22850,99.89507738043193
tested_raw,eisq_ol,22874,22695,0,0,22695,99.21745212905482
tested_raw,eisq_fol,22874,22813,0,0,22813,99.73332167526449
tested_raw,seco,22874,16277,0,0,16277,71.15939494622717
tested_raw,secopri,22874,18202,0,0,18202,79.57506339074932
tested_raw,f_secop,22874,18496,0,0,18496,80.86036548045816
tested_raw,secopres,22874,18502,0,0,18502,80.88659613535017
slim_tested,id_pacie,22115,0,0,0,0,0.0
slim_tested,ana_dura,22115,0,0,0,0,0.0
slim_tested,sexo,22115,0,0,0,0,0.0
slim_tested,edad,22115,0,0,0,0,0.0
slim_tested,raza,22115,0,0,13279,13279,60.04521817770744
slim_tested,peso,22115,0,0,0,0,0.0
slim_tested,talla,22115,4966,0,0,4966,22.455347049513904
slim_tested,tension_,22115,1001,0,0,1001,4.526339588514583
slim_tested,ant_inf,22115,0,0,0,0,0.0
slim_tested,ant_isq,22115,0,0,0,0,0.0
slim_tested,ant_clau,22115,0,0,0,0,0.0
slim_tested,fum_act,22115,0,0,0,0,0.0
slim_tested,diabetes,22115,0,0,0,0,0.0
slim_tested,hip_art,22115,0,0,0,0,0.0
slim_tested,insf_car,22115,0,0,0,0,0.0
slim_tested,fibr_aur,22115,0,0,0,0,0.0
slim_tested,trat_est,22115,0,0,0,0,0.0
slim_tested,e_con_pp,22115,0,0,0,0,0.0
slim_tested,e_con_cu,22115,0,0,0,0,0.0
slim_tested,e_con_ec,22115,0,0,0,0,0.0
slim_tested,e_con_lu,22115,0,0,0,0,0.0
slim_tested,e_con_af,22115,0,0,0,0,0.0
slim_tested,e_con_be,22115,0,0,0,0,0.0
slim_tested,e_con_at,22115,0,0,0,0,0.0
slim_tested,e_con_va,22115,0,0,0,0,0.0
slim_tested,e_con_ar,22115,0,0,0,0,0.0
slim_tested,e_con_ea,22115,0,0,0,0,0.0
slim_tested,e_con_pr,22115,0,0,0,0,0.0
slim_tested,e_con_ro,22115,0,0,0,0,0.0
slim_tested,e_con_av,22115,0,0,0,0,0.0
slim_tested,e_con_sm,22115,0,0,0,0,0.0
slim_tested,sin_tvp_,22115,0,0,0,0,0.0
slim_tested,var171,22115,0,0,0,0,0.0
slim_tested,tv_l_esu,22115,0,0,0,0,0.0
slim_tested,tvp_orig,22115,0,0,21109,21109,95.4510513226317
slim_tested,tv_l_ein,22115,0,0,0,0,0.0
slim_tested,tvp_prox,22115,0,0,8570,8570,38.751978295274704
slim_tested,tv_l_vpo,22115,0,0,0,0,0.0
slim_tested,tv_l_vme,22115,0,0,0,0,0.0
slim_tested,tv_l_ves,22115,0,0,0,0,0.0
slim_tested,tv_l_svc,22115,0,0,0,0,0.0
slim_tested,tv_l_vre,22115,0,0,0,0,0.0
slim_tested,tv_l_vrn,22115,0,0,0,0,0.0
slim_tested,tv_l_vca,22115,0,0,0,0,0.0
slim_tested,tv_l_yug,22115,0,0,0,0,0.0
slim_tested,tv_l_ova,22115,0,0,0,0,0.0
slim_tested,tv_l_sup,22115,0,0,0,0,0.0
slim_tested,tv_l_pul,22115,0,0,0,0,0.0
slim_tested,tv_l_ove,22115,0,0,0,0,0.0
slim_tested,fr_cance,22115,0,0,0,0,0.0
slim_tested,fr_cirug,22115,0,0,0,0,0.0
slim_tested,fr_inmov,22115,0,0,0,0,0.0
slim_tested,fr_tvp_a,22115,0,0,0,0,0.0
slim_tested,fr_antfa,22115,0,0,0,0,0.0
slim_tested,fr_tvs_a,22115,0,0,0,0,0.0
slim_tested,fr_viaje,22115,0,0,0,0,0.0
slim_tested,fr_estro,22115,0,0,0,0,0.0
slim_tested,fr_embar,22115,0,0,0,0,0.0
slim_tested,fr_varic,22115,0,0,0,0,0.0
slim_tested,fr_antec,22115,0,0,0,0,0.0
slim_tested,ana_hemo,22115,37,0,0,37,0.16730725751752204
slim_tested,ana_leuc,22115,37,0,0,37,0.16730725751752204
slim_tested,ana_neu,22115,18766,0,0,18766,84.85643228577888
slim_tested,ana_plaq,22115,37,0,0,37,0.16730725751752204
slim_tested,ana_dime,22115,0,0,6495,6495,29.369206420981236
slim_tested,protcrea,22115,22115,0,0,22115,100.0
slim_tested,ana_crea,22115,0,0,736,736,3.3280578792674653
slim_tested,ana_trop,22115,0,0,14785,14785,66.85507574044766
slim_tested,evn_defu,22115,0,0,0,0,0.0
slim_tested,evn_reci,22115,0,0,0,0,0.0
slim_tested,evn_rec2,22115,0,0,0,0,0.0
slim_tested,evn_rec3,22115,0,0,0,0,0.0
slim_tested,evn_rec4,22115,0,0,0,0,0.0
slim_tested,evn_hemo,22115,0,0,0,0,0.0
slim_tested,evn_hem2,22115,0,0,0,0,0.0
slim_tested,evn_hem3,22115,0,0,0,0,0.0
slim_tested,evn_hem4,22115,0,0,0,0,0.0
slim_tested,eisq_art,22115,0,0,0,0,0.0
slim_tested,eisq_inf,22115,0,0,0,0,0.0
slim_tested,eisq_ang,22115,0,0,0,0,0.0
slim_tested,eisq_cer,22115,0,0,0,0,0.0
slim_tested,eisq_ei,22115,0,0,0,0,0.0
slim_tested,eisq_ol,22115,0,0,0,0,0.0
