variable,label,category,first_group,second_group,first_n,second_n,first_observed_n,second_observed_n,first_missing_n,second_missing_n,first_count,second_count,first_percent,second_percent,standardized_difference,p_value,first_mean,first_sd,first_median,first_q1,first_q3,second_mean,second_sd,second_median,second_q1,second_q3
fr_estro,Recent hormone exposure,No,Development eligible,Temporal eligible,10034,221,9921,219,113,2,8829.0,192.0,88.99304505594195,87.67123287671232,0.04118193985502379,0.5133619618813502,,,,,,,,,,
fr_estro,Recent hormone exposure,Yes,Development eligible,Temporal eligible,10034,221,9921,219,113,2,1092.0,27.0,11.006954944058059,12.32876712328767,-0.04118193985502353,0.5133619618813502,,,,,,,,,,
fr_embar,Pregnancy,No,Development eligible,Temporal eligible,10034,221,10034,221,0,0,9871.0,218.0,98.37552322104844,98.64253393665159,-0.022033442988943407,1.0,,,,,,,,,,
fr_embar,Pregnancy,Yes,Development eligible,Temporal eligible,10034,221,10034,221,0,0,163.0,3.0,1.6244767789515648,1.3574660633484164,0.022033442988942824,1.0,,,,,,,,,,
fr_varic,Varicose veins,No,Development eligible,Temporal eligible,10034,221,9802,214,232,7,7824.0,188.0,79.82044480718221,87.85046728971963,-0.21944198682233268,0.003171253059834152,,,,,,,,,,
fr_varic,Varicose veins,Yes,Development eligible,Temporal eligible,10034,221,9802,214,232,7,1978.0,26.0,20.17955519281779,12.149532710280374,0.21944198682233276,0.003171253059834152,,,,,,,,,,
fr_antec,Recent delivery,No,Development eligible,Temporal eligible,10034,221,9988,221,46,0,9865.0,218.0,98.768522226672,98.64253393665159,0.011146021353099314,0.7545627522167827,,,,,,,,,,
fr_antec,Recent delivery,Yes,Development eligible,Temporal eligible,10034,221,9988,221,46,0,123.0,3.0,1.2314777733279936,1.3574660633484164,-0.011146021353099732,0.7545627522167827,,,,,,,,,,
ana_dime,Recorded categorical D-dimer,Negative,Development eligible,Temporal eligible,10034,221,9590,197,444,24,345.0,3.0,3.597497393117831,1.5228426395939088,0.13163817609724968,1.2400384678866333e-06,,,,,,,,,,
ana_dime,Recorded categorical D-dimer,Not performed,Development eligible,Temporal eligible,10034,221,9590,197,444,24,2395.0,20.0,24.97393117831074,10.152284263959391,0.3971295222876899,1.2400384678866333e-06,,,,,,,,,,
ana_dime,Recorded categorical D-dimer,Positive,Development eligible,Temporal eligible,10034,221,9590,197,444,24,6850.0,174.0,71.42857142857143,88.3248730964467,-0.4311164584911367,1.2400384678866333e-06,,,,,,,,,,
ana_crea,Recorded creatinine category,Elevated,Development eligible,Temporal eligible,10034,221,9764,214,270,7,964.0,20.0,9.873002867677181,9.345794392523365,0.01788916264795186,0.9077329304752627,,,,,,,,,,
ana_crea,Recorded creatinine category,Normal,Development eligible,Temporal eligible,10034,221,9764,214,270,7,8800.0,194.0,90.12699713232281,90.65420560747664,-0.017889162647951855,0.9077329304752627,,,,,,,,,,
ana_trop,Recorded troponin category,Elevated,Development eligible,Temporal eligible,10034,221,2808,97,7226,124,673.0,27.0,23.967236467236468,27.835051546391753,-0.08837390408697172,0.3980121312921283,,,,,,,,,,
ana_trop,Recorded troponin category,Normal,Development eligible,Temporal eligible,10034,221,2808,97,7226,124,2135.0,70.0,76.03276353276354,72.16494845360825,0.0883739040869718,0.3980121312921283,,,,,,,,,,
edad,Age (years),50–69,Development eligible,Temporal eligible,10034,221,10034,221,0,0,3399.0,89.0,33.87482559298385,40.27149321266968,-0.1327273023529433,3.6633009465257496e-05,,,,,,,,,,
edad,Age (years),<50,Development eligible,Temporal eligible,10034,221,10034,221,0,0,4069.0,105.0,40.55212278253937,47.511312217194565,-0.14053171187677418,3.6633009465257496e-05,,,,,,,,,,
